elapsed,g_forward_cmd,g_turn_cmd,g_shortest_bearing,g_shortest
0.000000,0.000000,0.000000,0.000000,0.500000 
0.105000,0.000000,0.000000,232.000000,0.376517 
0.094000,0.000000,0.000000,232.000000,0.376517 
0.099000,0.000000,0.000000,238.000000,0.376941 
0.100000,0.000000,0.000000,238.000000,0.376941 
0.101000,0.000000,0.000000,241.000000,0.379876 
0.100000,0.000000,0.000000,241.000000,0.379876 
0.104000,0.000000,0.000000,241.000000,0.375550 
0.096000,0.000000,0.000000,241.000000,0.375550 
0.099000,0.000000,0.000000,239.000000,0.380776 
0.100000,0.000000,0.000000,239.000000,0.380776 
0.101000,0.000000,0.000000,241.000000,0.383425 
0.103000,0.000000,0.000000,241.000000,0.383425 
0.096000,0.000000,0.000000,239.000000,0.377504 
0.105000,0.000000,0.000000,239.000000,0.377504 
0.095000,0.000000,0.000000,242.000000,0.383895 
0.104000,0.000000,0.000000,242.000000,0.383895 
0.096000,0.000000,0.000000,233.000000,0.378260 
0.100000,0.000000,0.000000,233.000000,0.378260 
0.098000,0.000000,0.000000,235.000000,0.375054 
0.100000,0.000000,0.000000,235.000000,0.375054 
0.100000,0.000000,0.000000,233.000000,0.381429 
0.100000,0.000000,0.000000,233.000000,0.381429 
0.099000,0.000000,0.000000,237.000000,0.378133 
0.101000,0.000000,0.000000,237.000000,0.378133 
0.098000,0.000000,0.000000,233.000000,0.365407 
0.102000,0.000000,0.000000,233.000000,0.365407 
0.099000,0.000000,0.000000,236.000000,0.388736 
0.101000,0.000000,0.000000,236.000000,0.388736 
0.099000,0.000000,0.000000,236.000000,0.381445 
0.098000,0.000000,0.000000,236.000000,0.381445 
0.102000,0.000000,0.000000,237.000000,0.376965 
0.095000,0.000000,0.000000,237.000000,0.376965 
0.101000,0.000000,0.000000,235.000000,0.379730 
0.098000,0.000000,0.000000,235.000000,0.379730 
0.101000,0.000000,0.000000,235.000000,0.376774 
0.099000,0.000000,0.000000,235.000000,0.376774 
0.101000,0.000000,0.000000,232.000000,0.382003 
0.102000,0.000000,0.000000,232.000000,0.382003 
0.096000,0.000000,0.000000,236.000000,0.376255 
0.099000,0.000000,0.000000,236.000000,0.376255 
0.101000,0.000000,0.000000,239.000000,0.381651 
0.100000,0.000000,0.000000,239.000000,0.381651 
0.098000,0.000000,0.000000,240.000000,0.379748 
0.100000,0.005000,0.000000,240.000000,0.379748 
0.100000,0.010000,0.000000,240.000000,0.381574 
0.101000,0.020000,0.000000,240.000000,0.381574 
0.099000,0.025000,0.000000,232.000000,0.385414 
0.100000,0.035000,0.000000,232.000000,0.385414 
0.100000,0.040000,0.000000,233.000000,0.381626 
0.102000,0.050000,0.000000,233.000000,0.381626 
0.096000,0.055000,0.000000,245.000000,0.383504 
0.105000,0.065000,0.000000,245.000000,0.383504 
0.095000,0.070000,0.000000,236.000000,0.390793 
0.099000,0.070000,0.000000,236.000000,0.390793 
0.099000,0.070000,0.000000,236.000000,0.396441 
0.100000,0.070000,0.000000,236.000000,0.396441 
0.099000,0.070000,0.000000,234.000000,0.408675 
0.100000,0.070000,0.000000,234.000000,0.408675 
0.100000,0.070000,0.000000,236.000000,0.413970 
0.100000,0.070000,0.000000,236.000000,0.413970 
0.101000,0.070000,0.000000,242.000000,0.430429 
0.099000,0.070000,0.000000,242.000000,0.430429 
0.100000,0.070000,0.000000,235.000000,0.427667 
0.101000,0.070000,0.000000,235.000000,0.427667 
0.100000,0.075000,0.000000,231.000000,0.439317 
0.099000,0.080000,0.000000,231.000000,0.439317 
0.100000,0.090000,0.000000,230.000000,0.447867 
0.100000,0.100000,0.000000,230.000000,0.447867 
0.101000,0.105000,0.000000,34.000000,0.446263 
0.099000,0.110000,0.000000,34.000000,0.446263 
0.100000,0.120000,0.000000,33.000000,0.429285 
0.100000,0.125000,0.000000,33.000000,0.429285 
0.108000,0.130000,0.000000,38.000000,0.406459 
0.091000,0.130000,0.000000,38.000000,0.406459 
0.101000,0.130000,0.000000,32.000000,0.390345 
0.099000,0.130000,0.000000,32.000000,0.390345 
0.101000,0.130000,0.000000,37.000000,0.370796 
0.100000,0.130000,0.000000,37.000000,0.370796 
