elapsed,g_forward_cmd,g_turn_cmd,g_shortest_bearing,g_shortest
5250.595000,0.000000,0.000000,0.000000,0.500000 
0.000000,0.000000,0.000000,0.000000,0.500000 
0.100000,0.000000,0.000000,131.000000,0.366345 
0.103000,0.000000,0.000000,131.000000,0.366345 
0.097000,0.000000,0.000000,129.000000,0.368596 
0.100000,0.000000,0.000000,129.000000,0.368596 
0.101000,0.000000,0.000000,131.000000,0.363072 
0.099000,0.000000,0.000000,131.000000,0.363072 
0.101000,0.000000,0.000000,126.000000,0.360678 
0.100000,0.000000,0.000000,126.000000,0.360678 
0.101000,0.000000,0.000000,131.000000,0.363612 
0.098000,0.000000,0.000000,131.000000,0.363612 
0.100000,0.000000,0.000000,130.000000,0.367823 
0.101000,0.000000,0.000000,130.000000,0.367823 
0.099000,0.000000,0.000000,130.000000,0.371563 
0.101000,0.000000,0.000000,130.000000,0.371563 
0.099000,0.000000,0.000000,124.000000,0.367439 
0.099000,0.000000,0.000000,124.000000,0.367439 
0.100000,0.000000,0.000000,126.000000,0.360395 
0.100000,0.000000,0.000000,126.000000,0.360395 
0.100000,0.000000,0.000000,129.000000,0.370031 
0.100000,0.000000,0.000000,129.000000,0.370031 
0.100000,0.000000,0.000000,131.000000,0.365026 
0.100000,0.000000,0.000000,131.000000,0.365026 
0.100000,0.000000,0.000000,129.000000,0.364800 
0.100000,0.000000,0.000000,129.000000,0.364800 
0.100000,0.000000,0.000000,130.000000,0.365077 
0.100000,0.000000,0.000000,130.000000,0.365077 
0.101000,0.000000,0.000000,125.000000,0.368817 
0.099000,0.000000,0.000000,125.000000,0.368817 
0.101000,0.000000,0.000000,129.000000,0.355100 
0.099000,0.000000,0.000000,129.000000,0.355100 
0.100000,0.000000,0.000000,133.000000,0.361749 
0.101000,0.000000,0.000000,133.000000,0.361749 
0.099000,0.000000,0.000000,132.000000,0.360819 
0.100000,0.000000,0.000000,132.000000,0.360819 
0.099000,0.000000,0.000000,134.000000,0.367658 
0.099000,0.000000,0.000000,134.000000,0.367658 
0.099000,0.000000,0.000000,125.000000,0.367384 
0.099000,0.000000,0.000000,125.000000,0.367384 
0.099000,0.000000,0.000000,130.000000,0.362565 
0.100000,0.000000,0.000000,130.000000,0.362565 
0.100000,0.000000,0.000000,130.000000,0.362717 
0.100000,0.000000,0.000000,130.000000,0.362717 
0.100000,0.000000,0.000000,125.000000,0.367043 
0.100000,0.000000,0.000000,125.000000,0.367043 
0.100000,0.000000,0.000000,129.000000,0.364425 
0.099000,0.000000,0.000000,129.000000,0.364425 
0.100000,0.000000,0.000000,128.000000,0.367013 
0.101000,0.000000,0.000000,128.000000,0.367013 
0.100000,0.000000,0.000000,135.000000,0.367650 
0.103000,0.000000,0.000000,135.000000,0.367650 
0.096000,0.000000,0.000000,129.000000,0.362868 
0.100000,0.000000,0.000000,129.000000,0.362868 
0.101000,0.000000,0.000000,130.000000,0.362422 
0.101000,0.000000,0.000000,130.000000,0.362422 
0.102000,0.000000,0.000000,123.000000,0.374228 
0.101000,0.000000,0.000000,123.000000,0.374228 
0.097000,0.000000,0.000000,129.000000,0.364112 
0.099000,0.000000,0.000000,129.000000,0.364112 
0.104000,0.000000,0.000000,129.000000,0.368618 
0.115000,0.000000,0.000000,129.000000,0.368618 
0.080000,0.000000,0.000000,131.000000,0.369989 
0.096000,0.000000,0.000000,131.000000,0.369989 
0.103000,0.000000,0.000000,131.000000,0.368755 
0.097000,0.000000,0.000000,131.000000,0.368755 
0.100000,0.000000,0.000000,133.000000,0.365849 
0.100000,0.000000,0.000000,133.000000,0.365849 
0.101000,0.000000,0.000000,131.000000,0.364302 
0.099000,0.000000,0.000000,131.000000,0.364302 
0.100000,0.000000,0.000000,127.000000,0.369032 
0.101000,0.000000,0.000000,127.000000,0.369032 
0.099000,0.000000,0.000000,126.000000,0.365708 
0.101000,0.000000,0.000000,126.000000,0.365708 
0.100000,0.000000,0.000000,130.000000,0.366414 
0.100000,0.000000,0.000000,130.000000,0.366414 
0.099000,0.000000,0.000000,127.000000,0.359399 
0.100000,0.000000,0.000000,127.000000,0.359399 
0.101000,0.000000,0.000000,126.000000,0.367553 
0.100000,0.000000,0.000000,126.000000,0.367553 
0.099000,0.000000,0.000000,128.000000,0.365917 
0.100000,0.000000,0.000000,128.000000,0.365917 
0.100000,0.000000,0.000000,129.000000,0.367382 
0.099000,0.000000,0.000000,129.000000,0.367382 
0.100000,0.000000,0.000000,134.000000,0.365849 
0.101000,0.000000,0.000000,134.000000,0.365849 
0.099000,0.000000,0.000000,132.000000,0.365335 
0.101000,0.000000,0.000000,132.000000,0.365335 
0.093000,0.000000,0.000000,128.000000,0.367312 
0.100000,0.000000,0.000000,128.000000,0.367312 
0.101000,0.000000,0.000000,127.000000,0.363433 
0.101000,0.000000,0.000000,127.000000,0.363433 
0.098000,0.000000,0.000000,126.000000,0.368234 
0.100000,0.000000,0.000000,126.000000,0.368234 
0.100000,0.000000,0.000000,123.000000,0.369777 
0.100000,0.000000,0.000000,123.000000,0.369777 
0.100000,0.000000,0.000000,125.000000,0.367625 
0.100000,0.000000,0.000000,125.000000,0.367625 
0.101000,0.000000,0.000000,129.000000,0.371155 
0.098000,0.000000,0.000000,129.000000,0.371155 
0.100000,0.000000,0.000000,129.000000,0.361484 
0.100000,0.000000,0.000000,129.000000,0.361484 
0.101000,0.000000,0.000000,126.000000,0.369689 
0.099000,0.000000,0.000000,126.000000,0.369689 
0.099000,0.000000,0.000000,125.000000,0.364826 
0.100000,0.000000,0.000000,125.000000,0.364826 
0.100000,0.000000,0.000000,123.000000,0.363908 
0.100000,0.000000,0.000000,123.000000,0.363908 
0.100000,0.000000,0.000000,132.000000,0.362391 
0.100000,0.000000,0.000000,132.000000,0.362391 
0.100000,0.000000,0.000000,132.000000,0.369952 
0.100000,0.000000,0.000000,132.000000,0.369952 
0.100000,0.000000,0.000000,130.000000,0.366651 
0.100000,0.000000,0.000000,130.000000,0.366651 
0.100000,0.000000,0.000000,125.000000,0.365631 
0.100000,0.000000,0.000000,125.000000,0.365631 
0.100000,0.000000,0.000000,124.000000,0.369024 
0.101000,0.000000,0.000000,124.000000,0.369024 
0.099000,0.000000,0.000000,128.000000,0.361224 
0.100000,0.000000,0.000000,128.000000,0.361224 
0.101000,0.000000,0.000000,127.000000,0.370416 
0.099000,0.000000,0.000000,127.000000,0.370416 
0.099000,0.000000,0.000000,128.000000,0.363476 
0.101000,0.000000,0.000000,128.000000,0.363476 
0.099000,0.000000,0.000000,127.000000,0.365562 
0.099000,0.000000,0.000000,127.000000,0.365562 
0.099000,0.000000,0.000000,127.000000,0.365752 
0.099000,0.000000,0.000000,127.000000,0.365752 
0.100000,0.000000,0.000000,123.000000,0.368042 
0.099000,0.000000,0.000000,123.000000,0.368042 
0.101000,0.000000,0.000000,132.000000,0.365454 
0.099000,0.000000,0.000000,132.000000,0.365454 
0.100000,0.000000,0.000000,133.000000,0.366497 
0.100000,0.000000,0.000000,133.000000,0.366497 
0.100000,0.000000,0.000000,129.000000,0.367155 
0.100000,0.000000,0.000000,129.000000,0.367155 
0.101000,0.000000,0.000000,129.000000,0.368947 
0.100000,0.000000,0.000000,129.000000,0.368947 
0.099000,0.000000,0.000000,122.000000,0.371112 
0.100000,0.000000,0.000000,122.000000,0.371112 
0.105000,0.000000,0.000000,129.000000,0.362719 
0.095000,0.000000,0.000000,129.000000,0.362719 
0.100000,0.000000,0.000000,123.000000,0.363491 
0.100000,0.000000,0.000000,123.000000,0.363491 
0.099000,0.000000,0.000000,122.000000,0.368383 
0.100000,0.000000,0.000000,122.000000,0.368383 
0.100000,0.000000,0.000000,127.000000,0.367596 
0.101000,0.000000,0.000000,127.000000,0.367596 
0.099000,0.000000,0.000000,128.000000,0.366900 
0.100000,0.000000,0.000000,128.000000,0.366900 
0.099000,0.000000,0.000000,131.000000,0.366066 
0.100000,0.000000,0.000000,131.000000,0.366066 
0.101000,0.000000,0.000000,122.000000,0.370772 
0.099000,0.000000,0.000000,122.000000,0.370772 
0.100000,0.000000,0.000000,126.000000,0.367242 
0.100000,0.000000,0.000000,126.000000,0.367242 
0.100000,0.000000,0.000000,125.000000,0.370805 
0.100000,0.000000,0.000000,125.000000,0.370805 
0.100000,0.000000,0.000000,128.000000,0.367022 
0.102000,0.000000,0.000000,128.000000,0.367022 
0.098000,0.000000,0.000000,130.000000,0.368546 
0.105000,0.000000,0.000000,130.000000,0.368546 
0.093000,0.000000,0.000000,131.000000,0.371042 
0.099000,0.000000,0.000000,131.000000,0.371042 
0.100000,0.000000,0.000000,131.000000,0.368995 
0.100000,0.000000,0.000000,131.000000,0.368995 
0.100000,0.000000,0.000000,131.000000,0.365938 
0.100000,0.000000,0.000000,131.000000,0.365938 
0.101000,0.000000,0.000000,123.000000,0.363116 
0.099000,0.000000,0.000000,123.000000,0.363116 
0.100000,0.000000,0.000000,130.000000,0.368552 
0.103000,0.000000,0.000000,130.000000,0.368552 
0.105000,0.000000,0.000000,124.000000,0.363410 
0.090000,0.000000,0.000000,124.000000,0.363410 
0.101000,0.000000,0.000000,128.000000,0.362767 
0.098000,0.000000,0.000000,128.000000,0.362767 
0.100000,0.000000,0.000000,124.000000,0.359571 
0.118000,0.000000,0.000000,124.000000,0.359571 
0.082000,0.000000,0.000000,124.000000,0.359571 
0.100000,0.000000,0.000000,129.000000,0.360777 
0.101000,0.000000,0.000000,124.000000,0.365337 
0.099000,0.000000,0.000000,124.000000,0.365337 
0.100000,0.000000,0.000000,132.000000,0.370052 
0.100000,0.000000,0.000000,132.000000,0.370052 
0.100000,0.000000,0.000000,125.000000,0.365607 
0.104000,0.000000,0.000000,125.000000,0.365607 
0.098000,0.000000,0.000000,123.000000,0.371806 
0.098000,0.000000,0.000000,123.000000,0.371806 
0.100000,0.000000,0.000000,127.000000,0.359933 
0.100000,0.000000,0.000000,127.000000,0.359933 
0.101000,0.000000,0.050000,127.000000,0.361263 
0.099000,0.000000,0.100000,127.000000,0.361263 
0.100000,0.000000,0.200000,123.000000,0.365940 
0.100000,0.000000,0.250000,123.000000,0.365940 
0.100000,0.000000,0.300000,127.000000,0.368481 
0.099000,0.000000,0.350000,127.000000,0.368481 
0.100000,0.000000,0.400000,115.000000,0.360025 
0.099000,0.000000,0.500000,115.000000,0.360025 
0.101000,0.000000,0.500000,110.000000,0.378628 
0.099000,0.000000,0.500000,110.000000,0.378628 
0.100000,0.000000,0.500000,105.000000,0.365738 
0.102000,0.000000,0.500000,105.000000,0.365738 
0.098000,0.000000,0.500000,99.000000,0.373369 
0.100000,0.000000,0.500000,99.000000,0.373369 
0.100000,0.000000,0.500000,96.000000,0.374133 
0.100000,0.000000,0.500000,96.000000,0.374133 
0.100000,0.000000,0.500000,89.000000,0.382718 
0.101000,0.000000,0.500000,89.000000,0.382718 
0.100000,0.000000,0.500000,82.000000,0.386831 
0.099000,0.000000,0.500000,82.000000,0.386831 
0.100000,0.000000,0.500000,87.000000,0.386855 
0.100000,0.000000,0.500000,87.000000,0.386855 
0.100000,0.000000,0.500000,71.000000,0.388447 
0.100000,0.000000,0.500000,71.000000,0.388447 
0.100000,0.000000,0.500000,66.000000,0.396783 
0.100000,0.000000,0.000000,66.000000,0.396783 
0.100000,0.000000,0.000000,61.000000,0.394758 
0.100000,0.000000,0.000000,61.000000,0.394758 
0.100000,0.000000,0.000000,69.000000,0.392060 
0.100000,0.000000,0.000000,69.000000,0.392060 
0.100000,0.000000,0.000000,60.000000,0.397947 
0.099000,0.000000,0.000000,60.000000,0.397947 
0.100000,0.000000,0.000000,69.000000,0.404381 
0.100000,0.000000,0.000000,69.000000,0.404381 
0.099000,0.000000,0.000000,61.000000,0.392671 
0.099000,0.000000,0.000000,61.000000,0.392671 
0.100000,0.000000,0.000000,60.000000,0.395625 
0.100000,0.000000,0.000000,60.000000,0.395625 
0.101000,0.000000,0.000000,63.000000,0.393947 
0.100000,0.000000,0.000000,63.000000,0.393947 
0.100000,0.000000,0.000000,67.000000,0.396340 
0.098000,0.000000,0.000000,67.000000,0.396340 
0.099000,0.000000,0.000000,68.000000,0.392446 
0.105000,0.000000,0.000000,68.000000,0.392446 
0.096000,0.000000,0.000000,62.000000,0.401387 
0.099000,0.000000,0.000000,62.000000,0.401387 
0.100000,0.000000,0.000000,68.000000,0.403504 
0.100000,0.000000,0.000000,68.000000,0.403504 
0.103000,0.000000,0.000000,61.000000,0.396424 
0.097000,0.000000,0.000000,61.000000,0.396424 
0.100000,0.000000,0.000000,65.000000,0.395215 
0.101000,0.000000,0.000000,65.000000,0.395215 
0.105000,0.000000,0.000000,65.000000,0.395215 
0.094000,0.000000,0.000000,64.000000,0.388829 
0.099000,0.000000,0.000000,67.000000,0.383442 
0.100000,0.000000,0.000000,67.000000,0.383442 
0.099000,0.000000,0.000000,66.000000,0.400979 
0.100000,0.000000,0.000000,66.000000,0.400979 
0.101000,0.000000,0.000000,69.000000,0.394198 
0.100000,0.000000,0.000000,69.000000,0.394198 
0.104000,0.000000,0.000000,67.000000,0.400844 
0.102000,0.000000,0.000000,67.000000,0.400844 
0.092000,0.000000,0.000000,63.000000,0.399736 
0.100000,0.000000,0.000000,63.000000,0.399736 
0.101000,0.000000,0.000000,68.000000,0.401786 
0.099000,0.000000,0.000000,68.000000,0.401786 
0.100000,0.000000,0.000000,66.000000,0.395825 
0.100000,0.000000,0.000000,66.000000,0.395825 
0.100000,0.000000,0.000000,65.000000,0.396686 
0.099000,0.000000,0.000000,65.000000,0.396686 
0.100000,0.000000,0.000000,64.000000,0.396794 
0.100000,0.000000,0.000000,64.000000,0.396794 
0.102000,0.000000,0.000000,66.000000,0.396508 
0.098000,0.000000,0.000000,66.000000,0.396508 
0.100000,0.000000,0.000000,68.000000,0.399769 
0.099000,0.000000,0.000000,68.000000,0.399769 
0.100000,0.000000,0.000000,65.000000,0.393122 
0.103000,0.000000,0.000000,65.000000,0.393122 
0.096000,0.000000,0.000000,63.000000,0.397302 
0.099000,0.000000,0.000000,63.000000,0.397302 
0.101000,0.000000,0.000000,68.000000,0.395655 
0.099000,0.000000,0.000000,68.000000,0.395655 
0.099000,0.000000,0.000000,64.000000,0.389872 
0.100000,0.000000,0.000000,64.000000,0.389872 
0.100000,0.000000,0.000000,68.000000,0.397344 
